model,year,kilometers,engine,price,description
Kia SOUL,2018,43000,Gasolina,10800,"Color : Blanco Bolsas Buenas (todas) A/C En excelente estado Vidrios y espejos eléctricos Motor 1.6 a toda prueba Suspension y dirección nitida Manejo Eco-Normal-Sport Frenos de disco delanteros y traseros Cruise Control funcionando Tablero Bitono (2 colores) Mandos al timón funcionando Sensacion de manejo como nuevo Millaje bajo real 43,XXX Elegante y discreto Techo interior color Negro Poco Negociable Cel."
Nissan Sentra,2016,95600,Gasolina,8000,"Precio negociable: si Color : Azul DESCRIPCIÓN CALIFICACIONES SEGURIDAD Nissan Sentra 2016, usado en buen estado Transmisión automática NEGOCIABLE !"
otros + Datsun 120 Y 1979,1979,0,Gasolina,3900,"Precio negociable: si Color : Verde Vendo bonito carro Datsun 120 Y 1979 en excelente condiciones de motor. no gasta agua ni aceite,no calienta, motor cequito.carro recien pintado, excelente tapicería, radiador nuevo, batería nueva.manual de 4 velocidades .super económico. solo personas serias que les guste lo clásico y exclusivo $3,900 negociable contactar sr. Manuel por whatsapp. se muestra en quezaltepeque."
Hyundai Veloster,2016,81000,Gasolina,8800,"Color : Blanco DESCRIPCIÓN CALIFICACIONES SEGURIDAD BONITO VELOSTER 1.6 TURBO, RINES ESPECIALES, VIDRIOS ELÉCTRICOS, SONIDO DIMENSIÓN, ASIENTOS DE CUERO, AIRE FUNCIONANDO, CAJA STANDAR 6 VELOCIDADES A TODA PRUEBA AL IGUAL QUE EL MOTOR DETALLE EN EL GUARDAFANGO 8,800 NEGOCIABLES"
Kia SOUL,2015,86000,Gasolina,8800,"Garantía: Como es visto no hay garantía Financiamiento: no Precio negociable: si Color : cafe DESCRIPCIÓN CALIFICACIONES SEGURIDAD Kia Soul 2015 motor 1.6 super economica, salio conduciendose de la aduana, tapiceria nitida, motor al 100%, rines originales, es el mismo carro que usa el papa, espaciosa, halogenos, aire super frio, 86 ,000 kms precio $8,800 negociables, la muestro en la puma de plaza merliot, interesados llamar al"
Ford Focus,2007,200000,Gasolina,3200,"Garantía: Como es visto no hay garantía Color : Gris Plata DESCRIPCIÓN CALIFICACIONES SEGURIDAD Ford Focus 2007 sedan 4 puertas automatico. En buen estado, bien cuidado."
Hyundai Accent,2001,1975,Gasolina,3100,Precio negociable: si DESCRIPCIÓN CALIFICACIONES SEGURIDAD Hyundai accent 2001 automático no A/C Motor y caja en buen estado. Atoda prueba detalles estéticos nada más se muestra en Quezaltepeque . Pregunté sin compromiso.
Nissan Sentra,2020,32000,Gasolina,13000,"Precio negociable: si Vendo Nissan Sentra 2020 SV, Motor 2.0 de 4 Cilindros, Transmisión Automática, Bolsas Buenas, Motor y Caja a Todo Tipo de Prueba, Suspensión y Dirección al 100%, Pantalla Táctil de 8 Pulgadas con Camara de Retroceso, Pintura en Perfecto Estado, Tapiciera en Excelentes Condiciones, Cero Códigos, Mantenimiento al Día, Encedido de Botón, Llave de Aproximidad, Cierre Central, Rines Especiales Bien Enllantado, Mandos al Timón, Calefacción en Asientos Delanteros , A/C Funcionando Nítido. Precio Negociable, NO CAMBIOS. Traspaso Directo"
Toyota Corolla,1998,100000,Gasolina,4000,"DESCRIPCIÓN CALIFICACIONES SEGURIDAD Toyota Corolla 98 de agencia, transmisión manual, A/C en buen estado, vidrios y espejos electricos. $4,000 negociable."
Volkswagen Jetta,2010,175418,Gasolina,5000,Financiamiento: no Precio negociable: si Color : negro DESCRIPCIÓN CALIFICACIONES SEGURIDAD Vw Jetta Clasico de Agencia. Perfectas condiciones. Asientos traseros movibles. Baul amplio.
